generationMode,facesDetected,facesBlurred,objectsDetected,tokensScrubbedFromTranscript,rawDataTransmitted,pipelineLatencyMs,faceDetectMs,blurMs,yoloMs,sceneClassifyMs,sttMs,piiScrubMs,timestamp
debug,0,0,3,0,false,358.928918838501,127.43818759918213,84.95879173278809,26.14295482635498,0.0,0.0,0.0,798348337.225949
onDevice,0,0,0,0,false,336.5060091018677,12.074947357177734,8.049964904785156,292.7500009536743,292.7500009536743,292.7359342575073,0.0020265579223632812,798348345.760157
debug,0,0,1,0,false,68.9460039138794,10.31942367553711,6.879615783691406,23.172974586486816,0.0,0.0,0.0,798348465.792863
debug,0,0,4,0,false,60.41395664215088,11.452245712280273,7.634830474853516,17.778992652893066,0.0,0.0,0.0,798348469.768087
onDevice,0,0,0,0,false,59.967994689941406,8.425211906433105,5.61680793762207,39.599061012268066,39.599061012268066,39.58010673522949,0.0019073486328125,798348472.533173
debug,0,0,2,0,false,49.54099655151367,10.675764083862305,7.117176055908203,16.35110378265381,0.0,0.0,0.0,798348560.989967
onDevice,0,0,2,0,false,60.38796901702881,7.5119733810424805,5.00798225402832,41.25404357910156,41.25404357910156,41.24307632446289,0.0019073486328125,798348563.691844
debug,0,0,4,0,false,50.135016441345215,10.828185081481934,7.218790054321289,15.24198055267334,0.0,0.0,0.0,798348640.379449
onDevice,0,0,0,0,false,60.494065284729004,8.503174781799316,5.668783187866211,39.65902328491211,39.65902328491211,39.639949798583984,0.0010728836059570312,798348642.295774
debug,0,0,5,0,false,58.55906009674072,11.568617820739746,7.712411880493164,18.497943878173828,0.0,0.0,0.0,798348721.105524
onDevice,0,0,2,0,false,59.269070625305176,8.800792694091797,5.867195129394531,37.966012954711914,37.966012954711914,37.960052490234375,0.0020265579223632812,798348725.706237
