generationMode,timeToFirstTokenMs,totalGenerationMs,turnCount,guardrailViolations,storyTextLength,timestamp
hybrid,0.0,35927.31297016144,1,0,173,1776658436.123112
hybrid,0.0,14134.077072143555,2,0,168,1776658468.294396
hybrid,0.0,44198.51589202881,3,0,216,1776658489.8682199
hybrid,0.0,14275.519013404846,1,0,184,1776658546.319071
hybrid,0.0,6147.415995597839,2,0,250,1776658574.5064511
hybrid,0.0,5663.6669635772705,3,0,308,1776658602.1076632
hybrid,0.0,12710.852980613708,1,0,158,1776658648.8031569
hybrid,0.0,5402.291059494019,2,0,228,1776658673.765652
hybrid,0.0,3055.367946624756,3,0,238,1776658700.300617
hybrid,0.0,12686.020970344543,1,0,147,1776658745.55095
hybrid,0.0,5611.303091049194,2,0,237,1776658772.056483
hybrid,0.0,3341.1890268325806,3,0,222,1776658796.2218409
hybrid,0.0,14004.91189956665,1,0,166,1776658845.411619
hybrid,0.0,4993.104100227356,2,0,207,1776658867.3854132
hybrid,0.0,5673.660039901733,3,0,260,1776658892.652491
