generationMode,facesDetected,facesBlurred,objectsDetected,tokensScrubbedFromTranscript,rawDataTransmitted,pipelineLatencyMs,faceDetectMs,blurMs,yoloMs,sceneClassifyMs,sttMs,piiScrubMs,timestamp
debug,0,0,1,0,false,388.7519836425781,151.51805877685547,101.01203918457031,29.501914978027344,0.0,0.0,0.0,798351177.257133
hybrid,0,0,1,0,false,321.0400342941284,10.555171966552734,7.036781311035156,292.9180860519409,292.9180860519409,292.9040193557739,0.0020265579223632812,798351181.893656
debug,0,0,3,0,false,317.38603115081787,82.56003856658936,55.04002571105957,45.74894905090332,0.0,0.0,0.0,798351314.495526
hybrid,0,0,4,0,false,113.15608024597168,12.046194076538086,8.03079605102539,76.20704174041748,76.20704174041748,76.20394229888916,0.007033348083496094,798351316.222611
debug,0,0,4,0,false,57.04200267791748,9.87238883972168,6.581592559814453,17.676949501037598,0.0,0.0,0.0,798351421.589068
hybrid,0,0,1,0,false,66.50888919830322,9.554457664489746,6.369638442993164,43.60496997833252,43.60496997833252,43.59304904937744,0.0019073486328125,798351423.329534
debug,0,0,2,0,false,56.63502216339111,12.547802925109863,8.365201950073242,18.803954124450684,0.0,0.0,0.0,798351518.086939
hybrid,0,0,1,0,false,60.524940490722656,8.600950241088867,5.733966827392578,39.24000263214111,39.24000263214111,39.24202919006348,0.00095367431640625,798351520.689627
debug,0,0,5,0,false,61.791062355041504,12.843561172485352,8.562374114990234,19.607067108154297,0.0,0.0,0.0,798351614.332505
hybrid,0,0,4,0,false,87.93795108795166,16.31941795349121,10.87961196899414,53.53498458862305,53.53498458862305,53.52497100830078,0.0029802322387695312,798351615.953156
