generationMode,facesDetected,facesBlurred,objectsDetected,tokensScrubbedFromTranscript,rawDataTransmitted,pipelineLatencyMs,faceDetectMs,blurMs,yoloMs,sceneClassifyMs,sttMs,piiScrubMs,timestamp
debug,0,0,3,0,false,869.0179586410522,308.57577323913574,205.71718215942383,24.76203441619873,0.0,0.0,0.0,798293378.788334
debug,0,0,2,0,false,56.73801898956299,9.274792671203613,6.183195114135742,19.48702335357666,0.0,0.0,0.0,798293389.231584
debug,0,0,2,0,false,61.402082443237305,10.520410537719727,7.013607025146484,16.991019248962402,0.0,0.0,0.0,798293393.43695
debug,0,0,2,0,false,59.72301959991455,10.283374786376953,6.855583190917969,19.823074340820312,0.0,0.0,0.0,798293398.193091
debug,0,0,2,0,false,63.134074211120605,15.005993843078613,10.003995895385742,18.900036811828613,0.0,0.0,0.0,798293402.110238
debug,0,0,3,0,false,73.3729600906372,12.74099349975586,8.493995666503906,29.89804744720459,0.0,0.0,0.0,798293424.328892
debug,0,0,1,0,false,62.27302551269531,11.228442192077637,7.485628128051758,17.091989517211914,0.0,0.0,0.0,798293430.370269
debug,0,0,4,0,false,56.527018547058105,9.805798530578613,6.537199020385742,16.813993453979492,0.0,0.0,0.0,798293433.784875
debug,0,0,4,0,false,59.53097343444824,13.030171394348145,8.68678092956543,19.925951957702637,0.0,0.0,0.0,798293436.629024
debug,0,0,1,0,false,94.74003314971924,10.631990432739258,7.087993621826172,20.72000503540039,0.0,0.0,0.0,798293438.929364
debug,0,0,2,0,false,57.550907135009766,12.56396770477295,8.375978469848633,16.589999198913574,0.0,0.0,0.0,798293445.360172
debug,0,0,1,0,false,54.2370080947876,9.648585319519043,6.432390213012695,17.918944358825684,0.0,0.0,0.0,798293454.7593
debug,0,0,1,0,false,56.375980377197266,10.634350776672363,7.089567184448242,18.626093864440918,0.0,0.0,0.0,798293458.229794
debug,0,0,1,0,false,59.76295471191406,10.818028450012207,7.212018966674805,21.052002906799316,0.0,0.0,0.0,798293461.351207
debug,0,0,1,0,false,69.4429874420166,10.503029823303223,7.002019882202148,17.603039741516113,0.0,0.0,0.0,798293464.98861
debug,0,0,5,0,false,60.11700630187988,11.266779899597168,7.511186599731445,18.197059631347656,0.0,0.0,0.0,798293473.277833
debug,0,0,4,0,false,60.93299388885498,10.595369338989258,7.063579559326172,16.285061836242676,0.0,0.0,0.0,798293479.517349
debug,0,0,3,0,false,153.60307693481445,11.435365676879883,7.623577117919922,23.582100868225098,0.0,0.0,0.0,798293482.449513
debug,0,0,2,0,false,62.41106986999512,11.527204513549805,7.684803009033203,17.315983772277832,0.0,0.0,0.0,798293485.684495
debug,0,0,3,0,false,62.92307376861572,13.36376667022705,8.909177780151367,19.834041595458984,0.0,0.0,0.0,798293488.77631
debug,0,0,2,0,false,60.086965560913086,10.558247566223145,7.03883171081543,18.541932106018066,0.0,0.0,0.0,798293494.338022
